Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1200506,2300,151.91999999999999,156.84,157.09999999999999,150.83000000000001,151.91999999999999,156.84,157.09999999999999,150.83000000000001,47.11,3786314.00,6.27,21.06,28.70,31.55
1200507,2300,151.52000000000001,149.88,152.38,148.72,151.52000000000001,149.88,152.38,148.72,44.41,4410506.00,8.12,21.10,21.14,27.97
1200508,2300,145.84,139.80000000000001,146.91999999999999,139.80000000000001,145.84,139.80000000000001,146.91999999999999,139.80000000000001,40.76,4894689.00,10.08,21.05,13.17,21.00
1200511,2300,143.56,130.47999999999999,143.90000000000001,130.0,143.56,130.47999999999999,143.90000000000001,130.0,37.67,4733856.00,13.90,21.09,4.51,12.94
1200512,2300,126.51000000000001,143.59999999999999,144.0,125.68000000000001,126.51000000000001,143.59999999999999,144.0,125.68000000000001,44.09,6108104.00,18.32,21.32,11.58,9.75
1200513,2300,145.36000000000001,158.59999999999999,164.63999999999999,142.36000000000001,145.36000000000001,158.59999999999999,164.63999999999999,142.36000000000001,50.37,10831765.00,22.28,21.45,32.97,16.35
1200514,2300,166.28,149.88,171.44,149.88,166.28,149.88,171.44,149.88,47.06,8677973.00,21.56,21.74,50.13,31.56
1200515,2300,157.44999999999999,146.40000000000001,159.84,146.40000000000001,157.44999999999999,146.40000000000001,159.84,146.40000000000001,45.77,6311825.00,13.44,21.64,54.76,45.95
1200518,2300,136.72,136.96000000000001,139.68000000000001,135.24000000000001,136.72,136.96000000000001,139.68000000000001,135.24000000000001,42.36,6327999.00,11.16,21.38,40.44,48.44
1200519,2300,137.72,144.12,144.40000000000001,134.68000000000001,137.72,144.12,144.40000000000001,134.68000000000001,45.66,5756243.00,9.72,20.67,36.30,43.83
1200520,2300,137.12,134.80000000000001,140.36000000000001,134.80000000000001,137.12,134.80000000000001,140.36000000000001,134.80000000000001,42.27,8109805.00,9.32,20.50,27.95,34.90
1200521,2300,135.28,138.72,141.52000000000001,133.40000000000001,135.28,138.72,141.52000000000001,133.40000000000001,44.15,6083672.00,8.12,20.24,29.22,31.16
1200522,2300,139.59999999999999,137.40000000000001,141.72,136.80000000000001,139.59999999999999,137.40000000000001,141.72,136.80000000000001,43.64,3840315.00,4.92,19.53,24.48,27.22
1200526,2300,130.91999999999999,135.31999999999999,136.41999999999999,130.47999999999999,130.91999999999999,135.31999999999999,136.41999999999999,130.47999999999999,42.79,4798611.00,6.92,19.07,24.96,26.22
1200527,2300,131.84,132.59999999999999,141.40000000000001,131.58000000000001,131.84,132.59999999999999,141.40000000000001,131.58000000000001,41.65,6655276.00,9.82,17.77,20.60,23.35
1200528,2300,134.24000000000001,137.91999999999999,139.18000000000001,132.53999999999999,134.24000000000001,137.91999999999999,139.18000000000001,132.53999999999999,44.75,5822926.00,6.64,17.23,20.98,22.18
1200529,2300,138.63999999999999,132.52000000000001,141.16,132.52000000000001,138.63999999999999,132.52000000000001,141.16,132.52000000000001,42.29,8153169.00,8.64,15.77,18.94,20.17
1200601,2300,136.24000000000001,133.68000000000001,136.75999999999999,132.91999999999999,136.24000000000001,133.68000000000001,136.75999999999999,132.91999999999999,43.02,3870017.00,4.24,14.18,19.73,19.88
1200602,2300,132.88,129.96000000000001,134.61000000000001,129.84,132.88,129.96000000000001,134.61000000000001,129.84,41.23,5699009.00,4.77,13.43,11.24,16.63
1200603,2300,127.52,124.36,128.16,123.76000000000001,127.52,124.36,128.16,123.76000000000001,38.63,6204962.00,6.20,12.65,6.46,12.47
1200604,2300,125.16,123.36,126.31999999999999,119.72,125.16,123.36,126.31999999999999,119.72,38.17,7249613.00,6.60,11.85,3.37,7.02
1200605,2300,115.84,116.68000000000001,118.31999999999999,115.31999999999999,115.84,116.68000000000001,118.31999999999999,115.31999999999999,35.15,6918987.00,8.04,11.57,4.79,4.87
1200608,2300,116.52,119.28,120.44,115.84,116.52,119.28,120.44,115.84,37.23,4146810.00,4.60,11.24,9.12,5.76
1200609,2300,122.76000000000001,125.08,126.01000000000001,121.84,122.76000000000001,125.08,126.01000000000001,121.84,41.73,5991134.00,6.73,10.97,17.83,10.58
